Label	rev_id	comment	year	logged_in	ns	sample	split
1	360814288.1	.NET Core is awesome	2101	True	user	blocked	train
0	360814288.1	This book sucks	2101	True	user	blocked	train
1	666674820.1	"  ==He is a troll!!!!!== Please edit the article to include this important fact. Thank You.  — Preceding unsigned comment added by   •   "	2105	True	article	blocked	train
1	24297552.1	The other two films Hitch and Magnolia are also directly related to the community in question, and may be of interest to those who see those films.  So why not link to them?  	2115	False	article	random	train
1	329810523.1	  == blocking people ==  how can i block lambs02 from my page and editing my stuff she's saying bad things she's my sister  	2119	True	user	random	test
0	390040019.1	  == Are you idiot????? ==  mootmootmootmootmootmootmootmootmootmoot	2101	True	user	blocked	train
1	426127516.1	 :::::Good enough for me; thanks for the info. I'll check the Sheffield references later. -   	2100	True	article	random	train
1	412484476.1	  == Motherjane concert location ==  Hi,  Motherjane, being a popular band, has headlined a lot of college rock festivals in India. But quoting the name of every college that they have performed is not quite right. So please refrain from adding the names of any more colleges/institutes. Thanks! —   	2101	True	article	random	train
1	360814288.1	  == warning ==  don't vandalize   	2101	True	user	blocked	train
1	668781869.1	" :There were reviews from critics in her song?   "	2105	True	article	blocked	train
1	555510737.1	"  Jack, is it a misrepresentation for you to write more than 511,111 nucleotide base pairs, or should you write 582 base pair.   Lets start watching ""RNA world"" page too.   "	2103	True	user	blocked	train
1	463827776.1	":Thank you, I will use these tool responsibly.  (Editor Review)   "	2100	True	user	random	train
1	512208592.1	  HELLO SITUSH ARE YOU THERE?? PEOPLE HAVE SOME QUESTIONS	2102	False	article	blocked	test
1	061548279.1	   -FREE MYANMAR!!! STOP THE MILITARY REGIME!!!! PATS0 DOESN't CARE!!! HE ONLY CARES ABOUT FOOTBALL AND ORDER!!!!!!!!!!!!!!!!	2117	True	user	blocked	train
